time,Obs,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area
,in,out,out,out,out,out,out,in
8,Ptuber,0.43713798,0.024246227,362.6802226,0.331247661,1.35953485,17.47886658,4.8
8,Man,3.262898661,0.026957648,198.3482169,0.365306302,1.351401824,17.51493263,6
8,Byucc,0.045384173,0.001201617,331.1630573,0.016887538,1.389187289,17.53716087,6
8,Ptuber,0.660732398,0.006636189,233.2965402,0.092641992,1.382046112,17.55410957,4.8
9,Man,0.767380958,0.008967346,255.0857915,0.129941119,1.436476796,18.07047081,6
9,Ptuber,0.11029484,0.012636202,377.1807644,0.178572835,1.401063272,17.77183723,3
9,Ptuber,0.381442868,0.061041894,381.6548291,0.795876759,1.308329482,17.38206291,3.3
9,Byucc,-0.203816289,0.00353176,482.5417597,0.049158238,1.377755506,17.56728172,6
9,Ptuber,0.484356261,0.009579525,310.9506948,0.132381549,1.370042241,17.56719208,4.8
9,Man,1.140768614,0.009690038,204.5310001,0.133470011,1.366289027,17.56823921,6
9,Byucc,-0.083149421,0.001038213,517.9768504,0.014396643,1.371482689,17.50763512,6
9,Ptuber,0.349382731,0.005351036,287.8744418,0.074192656,1.373026867,17.56542587,4.8
10,Man,0.642100091,0.006580199,236.461667,0.094355699,1.421319118,17.86935997,6
10,Ptuber,0.57289243,0.014987097,330.3899794,0.210018015,1.390873976,17.67590904,3
10,Ptuber,0.851331618,0.055363609,366.7222668,0.742819394,1.345006308,17.62768364,3.3
10,Byucc,-0.053892996,0.002640387,423.6458485,0.036572675,1.371383003,17.50639343,6
10,Ptuber,0.534682793,0.007605513,279.6167813,0.10481163,1.366307848,17.54043007,4.8
10,Man,2.105905695,0.032007611,286.4534604,0.421226191,1.316270803,17.44821548,6
10,Byucc,-0.295465512,0.001417233,721.338851,0.019561196,1.366022065,17.49488258,6
10,Ptuber,0.529013802,0.006588653,263.9480308,0.090886988,1.367028706,17.55618286,4.8
11,Man,0.599736668,0.005268176,210.5138566,0.075318702,1.417709273,17.83025551,6
11,Ptuber,0.416614501,0.020448406,358.8935735,0.284770228,1.385360514,17.64471245,3
11,Ptuber,0.649405362,0.066223744,375.7769176,0.864308646,1.313094859,17.40424156,3.3
11,Byucc,-0.171831353,0.003572517,467.3096471,0.049661284,1.37793811,17.51638985,6
11,Ptuber,0.15429853,0.012310063,371.3782856,0.169565573,1.368628669,17.52561188,4.8
11,Man,1.580073706,0.029905005,307.078768,0.395980107,1.324482408,17.45803261,6
11,Byucc,-0.114301497,0.001974584,482.6537347,0.02743704,1.376722437,17.48966408,6
11,Ptuber,0.46443097,0.012094275,330.2426141,0.166451591,1.367509353,17.51973915,4.8
12,Man,0.451409278,0.005676213,264.7842836,0.08210995,1.435817495,17.93014908,6
12,Ptuber,0.292379725,0.033622053,377.3384519,0.465825771,1.383819807,17.68685532,3
12,Ptuber,0.314864767,0.071887645,384.3437236,0.942306845,1.32192001,17.48376083,3.3
12,Byucc,-0.123119132,0.002484331,469.6251035,0.034847011,1.391412059,17.58250046,6
12,Ptuber,0.196467929,0.023469262,377.8995136,0.321373566,1.366472821,17.60436058,4.8
12,Man,1.174023878,0.021427368,304.1583628,0.290522433,1.353813781,17.52148247,6
12,Byucc,-0.355706522,0.002028239,668.8471953,0.028391692,1.388375839,17.56203079,6
12,Ptuber,0.238904677,0.007286004,339.1226672,0.101171147,1.379175921,17.54151344,4.8
