time,Obs,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area
5,Ptuber,0.312545117,0.004913275,278.9079532,0.167349423,3.306965442,31.7394371,3.3
5,Byucc,3.293220077,0.034788728,231.3018143,1.07224291,3.02578227,31.15754128,6
5,Ptuber,2.325078643,0.023245501,222.5771432,0.764615946,3.211196011,31.60483551,4.8
5,Man,4.944922667,0.045441195,207.9192905,1.422152535,3.081292802,31.52626038,6
5,Byucc,2.860373262,0.022416955,179.2366414,0.733496175,3.196193109,31.67443466,6
5,Ptuber,1.183677089,0.004090619,-72.72427884,0.137415624,3.261125284,31.62714005,4.8
6,Man,0.399593037,0.004134934,228.0713107,0.138965003,3.258307224,31.84404373,6
6,Ptuber,0.913351431,0.011441321,254.4847128,0.385694804,3.271856399,31.9266758,3
6,Ptuber,0.978714149,0.025498264,319.4092341,0.831900166,3.178008479,31.72759438,3.3
6,Byucc,2.74866745,0.032012112,245.1563976,0.980819737,2.999753812,31.30648041,6
6,Ptuber,1.815838075,0.018745169,227.780166,0.611459539,3.174419036,31.75915146,4.8
6,Man,6.587485385,0.061453027,210.5908276,1.792540923,2.883207463,31.31680489,6
6,Byucc,2.697959411,0.021375215,182.5681874,0.658748012,3.006605776,31.24002457,6
6,Ptuber,0.976524461,0.007344636,171.8597245,0.243077623,3.210293452,31.7837162,4.8
7,Man,1.085732647,0.010876497,231.8485517,0.169233876,1.539774084,18.18346405,6
7,Ptuber,0.740604269,0.018413391,326.2637987,0.280233052,1.507176136,17.91306114,3
7,Ptuber,0.832575863,0.022798138,332.2807694,0.345214396,1.501469818,17.8631916,3.3
7,Byucc,-0.533301876,0.005082576,556.3962797,0.076311977,1.483367496,17.62600708,6
7,Ptuber,0.834707147,0.013077533,289.1915885,0.193677091,1.46619272,17.62916756,4.8
7,Man,1.607527809,0.018876465,255.013946,0.279100112,1.4677219,17.69395638,6
7,Byucc,-0.292301311,0.008982016,442.4136279,0.133448312,1.469860047,17.59313393,6
7,Ptuber,0.229265524,0.007376652,341.0629435,0.110400029,1.479225496,17.63939667,4.8
8,Man,2.008338819,0.01823909,215.9224817,0.269331489,1.465499003,18.11449051,6
8,Ptuber,0.434696496,0.009855593,320.7148658,0.146183724,1.466451275,17.9479351,3
8,Ptuber,0.702226753,0.023284278,342.7069248,0.335037452,1.427530283,17.7793293,3.3
8,Byucc,-0.034186819,0.001911588,419.2333494,0.02746375,1.418359647,17.59663391,6
8,Ptuber,1.174532329,0.021983149,306.0022576,0.308307776,1.392491379,17.62708092,4.8
8,Man,3.079935068,0.021411358,162.0952903,0.2962737,1.375302229,17.53423882,6
8,Byucc,-0.032078788,0.002173559,414.7284948,0.030872484,1.402614578,17.53124619,6
8,Ptuber,0.702618417,0.00778414,247.8004689,0.110251485,1.400737843,17.57780075,4.8
9,Man,1.131167404,0.011669726,236.8842164,0.168999199,1.433461435,17.93683624,6
9,Ptuber,0.543379923,0.011654853,317.0134587,0.167026069,1.416798416,17.75218773,3
9,Ptuber,0.646377168,0.023086991,346.5524741,0.324604409,1.394101393,17.68399239,3.3
9,Byucc,0.033379101,0.002975541,373.1843299,0.041905459,1.390180466,17.54298973,6
9,Ptuber,0.850599615,0.014773717,299.5031295,0.205125718,1.375216798,17.55310631,4.8
9,Man,2.671677048,0.019581714,174.1189724,0.26799517,1.358893984,17.51023483,6
9,Byucc,-0.080097906,0.001585608,471.3246693,0.02223572,1.384037439,17.50531387,6
9,Ptuber,0.562619609,0.005576209,231.2581333,0.078070433,1.383335278,17.54172516,4.8
10,Man,1.767991599,0.014837958,201.8323708,0.214838572,1.435562356,17.99231148,6
10,Ptuber,0.14710105,0.009674017,366.8955115,0.138721596,1.41782177,17.78590202,3
10,Ptuber,0.315455411,0.022509757,368.956039,0.315041694,1.388297807,17.67237854,3.3
10,Byucc,-0.268134974,0.002648427,551.6393988,0.037102169,1.383434603,17.52074051,6
10,Ptuber,0.279639797,0.013591912,358.4764733,0.187799318,1.368544082,17.52878571,4.8
10,Man,1.51329161,0.013301878,210.719584,0.183077936,1.364052979,17.51153183,6
10,Byucc,-0.079837337,0.001005101,516.9575457,0.0140527,1.379850131,17.49980927,6
10,Ptuber,0.760121813,0.006388675,202.3875005,0.088430181,1.368222982,17.45968819,4.8
11,Man,0.548885934,0.008926377,293.2955122,0.129660643,1.435286129,17.93009949,6
11,Ptuber,0.291211933,0.010099727,345.0986995,0.144704724,1.414877571,17.73943329,3
11,Ptuber,0.323293888,0.021431324,366.9276096,0.300181889,1.387235426,17.6331234,3.3
11,Byucc,-0.219271956,0.001346499,648.7818804,0.01897231,1.388840864,17.52712822,6
11,Ptuber,0.110742761,0.02358387,383.9936614,0.322495211,1.356492802,17.51643562,4.8
11,Man,1.487859945,0.039836306,331.938355,0.524498748,1.31508568,17.41195679,6
11,Byucc,-0.201685374,0.001801155,568.2410953,0.025196723,1.379108623,17.4862442,6
11,Ptuber,0.027730172,0.003207524,377.626143,0.04498247,1.382878661,17.53602982,4.8
12,Man,0.033270796,0.00650967,382.270772,0.097730074,1.481277371,18.26634789,6
12,Ptuber,-0.395394708,0.013742164,436.4539269,0.198710427,1.428530163,17.87040901,3
12,Ptuber,-0.46472708,0.019886524,428.1190909,0.279625593,1.391654338,17.65189362,3.3
12,Byucc,-0.587457278,0.003306049,672.2936591,0.046668738,1.391983648,17.5692749,6
12,Ptuber,0.423473598,0.014460033,344.7033877,0.202243238,1.383373349,17.61872482,4.8
12,Man,1.362046047,0.02635864,309.1306093,0.355384659,1.340132293,17.50004196,6
12,Byucc,-0.046950674,0.001680949,435.2257766,0.023556372,1.381318553,17.48402977,6
12,Ptuber,0.425389456,0.004198389,230.5908745,0.059079566,1.387899974,17.56311989,4.8
