time,Obs,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area
,in,out,out,out,out,out,out,in
1,Man,-0.074570083,0.002449506,427.4140193,0.078789434,3.135166067,31.57586479,6
1,Ptuber,1.600049638,0.02226073,267.5987256,0.697170824,3.066145372,31.47306633,3
1,Ptuber,0.578690668,0.032666999,352.8494887,0.995807533,2.993011658,31.28750229,3.3
1,Byucc,4.277026824,0.05776249,264.1882311,1.62724544,2.798736829,31.02381325,6
1,Ptuber,2.714572177,0.03608935,262.4770983,1.081380116,2.949615829,31.21842575,4.8
1,Man,3.017506767,0.048978632,283.2840752,1.458301561,2.94758894,31.49658585,6
1,Byucc,3.709183695,0.039431435,232.6544585,1.157830621,2.899252651,31.16173553,6
1,Ptuber,0.561209378,0.007755333,266.7849939,0.250628411,3.154469374,31.64287376,4.8
2,Man,-0.018548425,0.002243894,390.3717373,0.081228813,3.530569643,32.24693298,6
2,Ptuber,0.727226415,0.013871389,296.6146502,0.476506954,3.36130308,31.65563774,3
2,Ptuber,0.174249059,0.028840801,369.7383852,0.963458554,3.281322577,31.46866417,3.3
2,Byucc,3.912296097,0.0464031,246.7694952,1.433793993,3.061728156,31.13834572,6
2,Ptuber,2.122107187,0.022015289,228.109721,0.73444234,3.274859839,31.44646072,4.8
2,Man,2.789414927,0.044321507,280.2347423,1.427793924,3.187924423,31.60484314,6
2,Byucc,2.039129252,0.016962176,191.1359176,0.550380663,3.183887097,31.16322327,6
2,Ptuber,0.084398892,0.006312595,357.5248778,0.218923908,3.388128249,31.64266014,4.8
3,Man,0.134971828,0.001979009,270.9160367,0.072282457,3.560605142,32.08002853,6
3,Ptuber,0.486868421,0.014175923,324.2542251,0.50527993,3.484576817,31.87102509,3
3,Ptuber,0.342596574,0.024504922,356.4167327,0.843167668,3.37382616,31.54541397,3.3
3,Byucc,2.465626306,0.022669195,208.8647147,0.724804976,3.14228701,30.91827202,6
3,Ptuber,2.330785714,0.034176397,271.9033775,1.139255832,3.28086606,31.41069794,4.8
3,Man,5.588750456,0.083826599,275.5910871,2.254036147,2.699057852,29.99765396,6
3,Byucc,2.875307687,0.02353907,187.5674885,0.771500016,3.220003616,31.24145317,6
3,Ptuber,0.575342363,0.008170973,268.8084742,0.280304154,3.351787818,31.37094307,4.8
4,Man,0.208332733,0.002034335,218.8212862,0.071576411,3.425314566,31.65473366,6
4,Ptuber,2.107576654,0.014180021,146.1182212,0.490398041,3.375529932,31.56668854,3
4,Ptuber,1.266729938,0.022183944,289.3430972,0.755621508,3.331252559,31.48277855,3.3
4,Byucc,3.256102314,0.030330276,210.7030703,0.978077698,3.169636931,31.18786621,6
4,Ptuber,2.038923843,0.025243702,251.9587801,0.867281041,3.364306968,31.75222397,4.8
4,Man,6.713695722,0.074731444,237.3447596,2.223519494,2.966471144,31.14243126,6
4,Byucc,2.293060365,0.018151439,180.6632546,0.62199592,3.350652775,31.77164841,6
4,Ptuber,1.176547245,0.0079438,147.1578276,0.277956965,3.408889121,31.73597717,4.8
5,Man,0.32152232,0.002141427,144.3573989,0.074329328,3.368457949,31.90026474,6
5,Ptuber,1.583041659,0.014138564,203.978124,0.472888341,3.255359641,31.56643105,3
